ID	ABCG2	Type	CancerType
TCGA-GD-A3OQ-01A	0.360795306	Tumor	BLCA
TCGA-CU-A0YO-01A	0.9582831	Tumor	BLCA
TCGA-DK-AA71-01A	0.52374048	Tumor	BLCA
TCGA-CF-A9FL-01A	0.3970859	Tumor	BLCA
TCGA-ZF-AA5N-01A	0.82074776	Tumor	BLCA
TCGA-UY-A9PF-01A	1.202324561	Tumor	BLCA
TCGA-UY-A78P-01A	0.740156489	Tumor	BLCA
TCGA-CF-A1HR-01A	0.954222383	Tumor	BLCA
TCGA-DK-A3IN-01A	1.800819	Tumor	BLCA
TCGA-UY-A9PH-01A	0.218871671	Tumor	BLCA
TCGA-GD-A76B-01A	1.187006051	Tumor	BLCA
TCGA-ZF-AA58-01A	0.3494165	Tumor	BLCA
TCGA-ZF-AA4V-01A	1.255317	Tumor	BLCA
TCGA-DK-AA6R-01A	1.315849938	Tumor	BLCA
TCGA-FT-A61P-01A	0.180311987	Tumor	BLCA
TCGA-2F-A9KQ-01A	1.103759	Tumor	BLCA
TCGA-K4-A54R-01A	0.115425985	Tumor	BLCA
TCGA-FD-A62S-01A	0.55014052	Tumor	BLCA
TCGA-ZF-A9R3-01A	0.5371495	Tumor	BLCA
TCGA-BT-A42F-01A	0.1172842	Tumor	BLCA
TCGA-K4-A83P-01A	0.857978792	Tumor	BLCA
TCGA-K4-A5RJ-01A	0.542145917	Tumor	BLCA
TCGA-XF-A9SX-01A	0.294793239	Tumor	BLCA
TCGA-KQ-A41N-01A	0.538434072	Tumor	BLCA
TCGA-DK-A1AE-01A	2.495869	Tumor	BLCA
TCGA-DK-A3WX-01A	0.312297746	Tumor	BLCA
TCGA-DK-A3WW-01A	0.179322814	Tumor	BLCA
TCGA-XF-A9SK-01A	0.260565693	Tumor	BLCA
TCGA-KQ-A41R-01A	0.927701552	Tumor	BLCA
TCGA-CF-A3MG-01A	1.063095924	Tumor	BLCA
TCGA-CU-A0YR-01A	0.671401674	Tumor	BLCA
TCGA-UY-A78M-01A	0.150608962	Tumor	BLCA
TCGA-CF-A5UA-01A	1.518583	Tumor	BLCA
TCGA-ZF-A9RN-01A	0.482914911	Tumor	BLCA
TCGA-4Z-AA81-01A	0.143947733	Tumor	BLCA
TCGA-E7-A8O8-01A	0.318831	Tumor	BLCA
TCGA-BL-A0C8-01B	1.513857588	Tumor	BLCA
TCGA-GC-A3RB-01A	0.680848387	Tumor	BLCA
TCGA-BT-A20O-01A	1.110415377	Tumor	BLCA
TCGA-G2-A2ES-01A	0.3087417	Tumor	BLCA
TCGA-DK-AA6P-01A	0.6514612	Tumor	BLCA
TCGA-FD-A43P-01A	0.3902218	Tumor	BLCA
TCGA-2F-A9KT-01A	0.205618674	Tumor	BLCA
TCGA-CF-A9FF-01A	1.135992582	Tumor	BLCA
TCGA-UY-A9PA-01A	0.177324956	Tumor	BLCA
TCGA-E7-A7DU-01A	0.582796595	Tumor	BLCA
TCGA-2F-A9KW-01A	3.565734566	Tumor	BLCA
TCGA-4Z-AA87-01A	0.2555061	Tumor	BLCA
TCGA-GU-A42Q-01A	0.905496581	Tumor	BLCA
TCGA-E7-A97P-01A	0.173187911	Tumor	BLCA
TCGA-XF-AAMG-01A	1.09378661	Tumor	BLCA
TCGA-BT-A3PH-01A	1.509735507	Tumor	BLCA
TCGA-ZF-AA4R-01A	0.18015856	Tumor	BLCA
TCGA-ZF-AA5P-01A	0.364974279	Tumor	BLCA
TCGA-DK-A3X2-01A	0.966215226	Tumor	BLCA
TCGA-YC-A8S6-01A	1.518349704	Tumor	BLCA
TCGA-K4-A4AB-01B	0.3602143	Tumor	BLCA
TCGA-GC-A3RC-01A	0.6444824	Tumor	BLCA
TCGA-BL-A0C8-01A	1.440283813	Tumor	BLCA
TCGA-GU-AATP-01A	0.343947574	Tumor	BLCA
TCGA-CF-A1HS-01A	0.50794124	Tumor	BLCA
TCGA-ZF-AA4U-01A	0.3597119	Tumor	BLCA
TCGA-GV-A3QF-01A	0.190978	Tumor	BLCA
TCGA-GC-A4ZW-01A	0.447747525	Tumor	BLCA
TCGA-ZF-A9RD-01A	0.4001509	Tumor	BLCA
TCGA-GU-A766-01A	0.541457828	Tumor	BLCA
TCGA-G2-A2EF-01A	0.2756687	Tumor	BLCA
TCGA-FD-A5BY-01A	0.2327087	Tumor	BLCA
TCGA-CF-A8HX-01A	0.450403	Tumor	BLCA
TCGA-GV-A6ZA-01A	0.434488161	Tumor	BLCA
TCGA-DK-A1A5-01A	0.944828	Tumor	BLCA
TCGA-4Z-AA7N-01A	1.424382252	Tumor	BLCA
TCGA-GC-A3RD-01A	0.8285255	Tumor	BLCA
TCGA-G2-A3IE-01A	0.2987214	Tumor	BLCA
TCGA-FD-A5BZ-01A	1.121909	Tumor	BLCA
TCGA-BT-A3PJ-01A	0.778836	Tumor	BLCA
TCGA-CU-A72E-01A	0.317482798	Tumor	BLCA
TCGA-ZF-A9RM-01A	0.6060297	Tumor	BLCA
TCGA-FD-A6TH-01A	3.101136	Tumor	BLCA
TCGA-GD-A3OS-01A	0.226498685	Tumor	BLCA
TCGA-DK-A3IS-01A	1.061963	Tumor	BLCA
TCGA-K4-A3WS-01A	0.530008287	Tumor	BLCA
TCGA-GD-A2C5-11A	1.212815	Normal	BLCA
TCGA-4Z-AA7R-01A	0.341299973	Tumor	BLCA
TCGA-DK-A6B1-01A	1.463984	Tumor	BLCA
TCGA-GV-A3QI-01A	1.254040653	Tumor	BLCA
TCGA-DK-A6AW-01A	1.44629	Tumor	BLCA
TCGA-BT-A20W-01A	1.501878203	Tumor	BLCA
TCGA-DK-A3IU-01A	2.642438	Tumor	BLCA
TCGA-K4-A5RI-11A	1.226370091	Normal	BLCA
TCGA-GC-A3YS-01A	0.2995149	Tumor	BLCA
TCGA-4Z-AA7Q-01A	0.559870163	Tumor	BLCA
TCGA-LT-A5Z6-01A	1.118527	Tumor	BLCA
TCGA-GC-A3I6-01A	0.3441493	Tumor	BLCA
TCGA-E7-A5KF-01A	0.529145535	Tumor	BLCA
TCGA-DK-A3IM-01A	0.1477729	Tumor	BLCA
TCGA-CF-A47X-01A	0.6049418	Tumor	BLCA
TCGA-BT-A2LA-01A	0.516945307	Tumor	BLCA
TCGA-GV-A3QK-01B	1.036533633	Tumor	BLCA
TCGA-FD-A6TD-01A	0.713996183	Tumor	BLCA
TCGA-XF-AAMX-01A	0.421155068	Tumor	BLCA
TCGA-ZF-A9R5-01A	1.240065	Tumor	BLCA
TCGA-XF-A8HC-01A	0.909028077	Tumor	BLCA
TCGA-ZF-A9RF-01A	0.83425545	Tumor	BLCA
TCGA-H4-A2HO-01A	1.301074155	Tumor	BLCA
TCGA-BT-A42E-01A	0.21709747	Tumor	BLCA
TCGA-FD-A5BU-01A	0.302161423	Tumor	BLCA
TCGA-XF-A9T6-01A	2.336648334	Tumor	BLCA
TCGA-ZF-AA4T-01A	1.526535	Tumor	BLCA
TCGA-FD-A3B6-01A	0.23672488	Tumor	BLCA
TCGA-4Z-AA80-01A	0.259794947	Tumor	BLCA
TCGA-GC-A6I3-11A	0.589574431	Normal	BLCA
TCGA-XF-A9SW-01A	1.433083733	Tumor	BLCA
TCGA-E7-A5KE-01A	1.258008	Tumor	BLCA
TCGA-DK-AA6S-01A	0.293206544	Tumor	BLCA
TCGA-FD-A5BR-01A	0.576116701	Tumor	BLCA
TCGA-FD-A6TC-01A	0.257658705	Tumor	BLCA
TCGA-XF-AAN1-01A	0.712527769	Tumor	BLCA
TCGA-DK-A3IV-01A	0.669490946	Tumor	BLCA
TCGA-PQ-A6FN-01A	0.24748674	Tumor	BLCA
TCGA-K4-A5RI-01A	3.451601	Tumor	BLCA
TCGA-ZF-A9R7-01A	0.797641909	Tumor	BLCA
TCGA-XF-A9SM-01A	0.649373984	Tumor	BLCA
TCGA-BL-A13J-11A	0.789725044	Normal	BLCA
TCGA-FD-A6TE-01A	1.433713119	Tumor	BLCA
TCGA-XF-AAME-01A	1.149444	Tumor	BLCA
TCGA-BT-A42C-01A	0.940789321	Tumor	BLCA
TCGA-CF-A47Y-01A	0.8174535	Tumor	BLCA
TCGA-E7-A519-01A	0.569896391	Tumor	BLCA
TCGA-FD-A43Y-01A	0.234511942	Tumor	BLCA
TCGA-BL-A5ZZ-01A	0.5681689	Tumor	BLCA
TCGA-CF-A3MF-01A	0.386964673	Tumor	BLCA
TCGA-FD-A3B8-01A	0.550678357	Tumor	BLCA
TCGA-BL-A13I-01B	2.364055582	Tumor	BLCA
TCGA-DK-A1A7-01A	0.9215962	Tumor	BLCA
TCGA-DK-A1A6-01A	0.2179347	Tumor	BLCA
TCGA-DK-A6B2-01A	0.472604964	Tumor	BLCA
TCGA-DK-AA74-01A	0.399886569	Tumor	BLCA
TCGA-ZF-AA4N-01A	1.448647256	Tumor	BLCA
TCGA-BT-A0YX-01A	0.6731772	Tumor	BLCA
TCGA-R3-A69X-01A	0.4935353	Tumor	BLCA
TCGA-XF-AAMW-01A	0.451027047	Tumor	BLCA
TCGA-C4-A0EZ-01A	0.610255301	Tumor	BLCA
TCGA-E7-A678-01A	0.4319713	Tumor	BLCA
TCGA-G2-A3IB-01A	0.4877727	Tumor	BLCA
TCGA-BL-A13J-01B	0.767124559	Tumor	BLCA
TCGA-DK-A3IT-01A	0.2117579	Tumor	BLCA
TCGA-MV-A51V-01A	2.073501	Tumor	BLCA
TCGA-UY-A78O-01A	0.274319413	Tumor	BLCA
TCGA-FD-A6TK-01A	0.947290657	Tumor	BLCA
TCGA-4Z-AA83-01A	0.517744209	Tumor	BLCA
TCGA-DK-A2I6-01A	0.5309189	Tumor	BLCA
TCGA-XF-AAN4-01A	0.653942873	Tumor	BLCA
TCGA-GD-A3OP-11A	0.947448959	Normal	BLCA
TCGA-BT-A20R-11A	0.6116768	Normal	BLCA
TCGA-CF-A27C-01A	0.8487825	Tumor	BLCA
TCGA-5N-A9KM-01A	0.9354903	Tumor	BLCA
TCGA-BT-A20U-01A	0.56342302	Tumor	BLCA
TCGA-YC-A9TC-01A	0.276393689	Tumor	BLCA
TCGA-E7-A6MD-01A	0.443635494	Tumor	BLCA
TCGA-K4-A5RH-01A	0.8449767	Tumor	BLCA
TCGA-XF-AAMH-01A	0.2751977	Tumor	BLCA
TCGA-DK-A1AB-01A	0.6169023	Tumor	BLCA
TCGA-E5-A4TZ-01A	0.165314778	Tumor	BLCA
TCGA-FD-A43X-01A	0.602522	Tumor	BLCA
TCGA-XF-A9SU-01A	0.19242515	Tumor	BLCA
TCGA-BT-A20N-01A	0.2453777	Tumor	BLCA
TCGA-BT-A20J-01A	0.35281761	Tumor	BLCA
TCGA-E7-A4IJ-01A	0.672669904	Tumor	BLCA
TCGA-CF-A47W-01A	1.030604978	Tumor	BLCA
TCGA-XF-A9SV-01A	0.41260851	Tumor	BLCA
TCGA-K4-AAQO-01A	0.7036773	Tumor	BLCA
TCGA-CU-A3YL-01A	2.006728	Tumor	BLCA
TCGA-DK-A2I2-01A	0.303831	Tumor	BLCA
TCGA-4Z-AA84-01A	4.953155573	Tumor	BLCA
TCGA-DK-A1AF-01A	0.999810865	Tumor	BLCA
TCGA-E5-A4U1-01A	0.381423839	Tumor	BLCA
TCGA-BT-A20Q-01A	1.189175203	Tumor	BLCA
TCGA-ZF-A9R4-01A	0.6944296	Tumor	BLCA
TCGA-KQ-A41Q-01A	0.242824253	Tumor	BLCA
